product_no,title,url,size,price,description,sku,images,source,is_best_price
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 6,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 6.5,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 7,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 7.5,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 8,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 8.5,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 9,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 9.5,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 10,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
1,Nike Air Jordan 1 Low Legend Light Brown,https://marketplace.mainstreet.co.in/products/nike-air-jordan-1-low-legend-light-brown?_pos=1&_sid=54c03926a&_ss=r,UK 11,"Rs. 10,999.00","The Air Jordan 1 Low SE 'Legend Light Brown' is a modern reinterpretation of the iconic AJ1 Low, blending premium materials with a neutral color palette. The upper combines smooth leather and soft suede in shades of Legend Light Brown, Sail, Neutral Grey, and Archaeo Brown, offering a versatile and stylish aesthetic. Equipped with Nike Air cushioning, this sneaker ensures comfort with every step, while the durable rubber outsole provides reliable traction for daily wear. Design elements such as the Wings logo on the heel and the Jumpman logo on the tongue pay homage to the brand's heritage.",N/A,"https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard4_d6a5cdae-0563-4c60-8683-3a6ff23bf2d7.png?v=1742302467&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard5_afbd23cc-1a7e-4bd6-a1ab-54153a9d8c14.png?v=1742302466&width=416, https://marketplace.mainstreet.co.in/cdn/shop/files/Artboard6_df1794c4-efc0-498a-bc00-23ba367526fd.png?v=1742302467&width=416",Mainstreet,False
