product_no,title,url,size,Mainstreet_price,Crepdogcrew_price,Hypefly_price,Culture-circle_price,best_price,best_seller,description,sku,images
1,Jordan 1 Low SE Legend Light Brown,https://crepdogcrew.com/products/jordan-1-low-se-legend-light-brown?_pos=1&_psq=legend+light+brow&_ss=e&_v=1.0,UK 3.5,-,"Rs. 8,999",-,"Rs. 13,499","Rs. 8,999",Crepdogcrew,Color Shown:Legend Light Brown/Sail/Neutral Grey/Archaeo Brown NOTE - UK 3 to UK 6 are GS pairs.,HF1567-200,"https://crepdogcrew.com/cdn/shop/files/EditsbyAhmar01_6a22ecfa-a28d-461f-a895-ef6cf1b46255.png?v=1744911762&width=1080, https://crepdogcrew.com/cdn/shop/files/Jordan1LowSELEGENDLIGHTBROWN2.png?v=1744911763&width=1080"
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 2.5,-,-,-,"Rs. 10,266","Rs. 10,266",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 4,-,-,-,"Rs. 9,498","Rs. 9,498",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 4.5,-,-,-,"Rs. 13,499","Rs. 13,499",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 5,-,-,-,"Rs. 9,498","Rs. 9,498",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 5.5,-,-,-,"Rs. 9,498","Rs. 9,498",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 6,"Rs. 10,999.00",-,Rs. 10999,"Rs. 10,230","Rs. 10,230",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 6(EU40),-,-,-,"Rs. 9,240","Rs. 9,240",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 6(EU39),-,-,-,"Rs. 9,998","Rs. 9,998",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
1,Jordan 1 Low SE 'Legend Light Brown',https://www.culture-circle.com/products/all/jordan-1-low-se-legend-light-brown,UK 6.5,"Rs. 10,999.00","Rs. 10,499",Rs. 10999,"Rs. 9,130","Rs. 9,130",Culture-circle,"TheJordan 1 Low SE 'Legend Light Brown'is more than just a sneaker; it’s a piece of history. Rooted in the legacy of the Air Jordan line, this low-top silhouette embodies a blend of athletic prowess and street style. With its versatile colorway, featuring shades of light brown and neutral tones, it seamlessly fits into any wardrobe, making it a go-to choice for both casual outings and sporty adventures.

Crafted from a mix ofpremium leatherand synthetic materials, the upper offers durability while maintaining a sleek aesthetic. The iconic Air Jordan logo graces the tongue and heel, a nod to its rich heritage. The design incorporates smooth and textured elements, with a cushioned midsole that enhances comfort, ensuring you look good while feeling great.

When it comes to fit, the Jordan 1 Low SE is designed for a snug yet flexible feel, perfect for various activities like walking, running, or hitting the gym. Its lightweight construction and medium shock absorption make it suitable for everyday wear, pairing effortlessly with jeans, shorts, or joggers. Whether you’re out socializing or just lounging, this sneaker is a versatile addition to your collection.",N/A,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2Fmedium_Air_Jordan_1_Low_SE_Legend_Light_Brown_63422c2c20.webp&w=1080&q=70
